"","baseMean","log2FoldChange","lfcSE","stat","pvalue","padj","genenames","diffexpressed","delabel"
"STM0110",15.1449787236644,-0.00776215644409674,0.385042697427634,-0.0201592096044247,0.983916367287272,0.998802608278029,"leuD","NO",NA
"STM0111",25.9184708121638,0.473081183782587,0.402796280094756,1.17449243491349,0.240197840333399,0.998802608278029,"leuC","NO",NA
"STM0112",28.2264375541841,0.15348516993742,0.352328641659449,0.43563069188617,0.663104698872162,0.998802608278029,"leuB","NO",NA
"STM0113",28.55057848629,0.415425175528905,0.449755205836436,0.923669520970446,0.355658405613281,0.998802608278029,"leuA","NO",NA
"STM0114",3.79405440234165,0.800286574701087,0.623515356335571,1.28350740133236,0.199314368229319,0.998802608278029,"leuL","NO",NA
"STM0115",2.89326877490088,0.144995703092189,0.882289158399232,0.164340343199116,0.869463224130029,0.998802608278029,"leuO","NO",NA
"STM0116",29.6618665117027,0.231505426792939,0.296843309135886,0.779891005348422,0.435455033246885,0.998802608278029,"ilvI","NO",NA
"STM0117",55.5088099063077,-0.319650256466753,0.276032520890101,-1.15801665483473,0.246857239847719,0.998802608278029,"ilvH","NO",NA
"STM0118",195.541386973026,0.0554172555925236,0.267887720055076,0.206867472615505,0.836113360107978,0.998802608278029,"fruR","NO",NA
"STM0119",98.3507600010469,0.149814794980451,0.331731423797237,0.451614722734321,0.6515465618195,0.998802608278029,"yabB","NO",NA
"STM0120",258.990679171876,-0.161824967750691,0.222143451016672,-0.72847057615282,0.466325574010074,0.998802608278029,"yabC","NO",NA
"STM0121",81.7870383792246,-0.246221819758311,0.244359271150183,-1.00762217287423,0.313635880240268,0.998802608278029,"ftsL","NO",NA
"STM0122",526.637257390637,0.0298518659715614,0.211930653288974,0.140856763796493,0.887983099008757,0.998802608278029,"ftsI","NO",NA
"STM0123",171.044090723976,-0.0430679637522501,0.30441394195526,-0.141478289317576,0.887492110133559,0.998802608278029,"murE","NO",NA
"STM0124",137.235421214644,0.0374503786134641,0.265858682405303,0.140865734662639,0.887976011953383,0.998802608278029,"murF","NO",NA
"STM0125",86.365089133629,0.113961598642978,0.283340586497232,0.402207110713703,0.687531609530067,0.998802608278029,"mraY","NO",NA
"STM0126",152.862830353777,0.0394464499317131,0.259316565695054,0.152116968794429,0.879094680793742,0.998802608278029,"murD","NO",NA
"STM0127",95.9742881793853,0.0442877598633712,0.256034802581826,0.172975546358457,0.862670649044956,0.998802608278029,"ftsW","NO",NA
"STM0128",119.38093883579,0.316364437486741,0.237774167215657,1.3305248471328,0.183345405315239,0.998802608278029,"murG","NO",NA
"STM0129",207.370053818856,0.0801237109018898,0.295541460528729,0.271108191583499,0.786307821466142,0.998802608278029,"murC","NO",NA
