"","baseMean","log2FoldChange","lfcSE","pvalue","padj","genenames"
"STM0028",6.59682661744037,0.000316998226254437,0.0111733710886317,0.219796900796888,0.998802608278029,"bcfH"
"STM0029",1.50120779186495,-2.12177421554613e-05,0.0111694835303374,0.669535734369301,0.998802608278029,NA
"STM0030",0.467357944621938,-2.23838071167391e-05,0.0111694493146256,0.905290485752966,0.998802608278029,NA
"STM0031",0,NA,NA,NA,NA,NA
"STM0032",10.7653340361001,-0.000747449808862026,0.0112027693929987,0.0131583401939735,0.452646902672688,NA
"STM0033",18.5075805973672,-0.000177174184348809,0.0111686310447892,0.511107047352509,0.998802608278029,NA
"STM0034",1.27517404209535,2.24587577686442e-05,0.0111690555824783,0.858912653472533,0.998802608278029,NA
"STM0035",28.2035717167863,-0.000317062446469995,0.0111703739903413,0.378044518048772,0.998802608278029,NA
"STM0036",20.4496143385144,-0.000452721154161916,0.0111756788260227,0.264083491848129,0.998802608278029,NA
"STM0037",4.51493872241069,0.000136333864271148,0.0111687070402949,0.543397901539156,0.998802608278029,NA
"STM0038",34.8225131982352,-0.000295221097245401,0.0111711137685898,0.323371218320808,0.998802608278029,NA
"STM0039",262.92513829348,-0.000825060640306954,0.0112061379603792,0.0393999023289546,0.79951450910822,"nhaA"
"STM0040",119.586253878011,-0.000790579335071987,0.0111987835839465,0.151745119238347,0.998802608278029,"nhaR"
"STM0041",14.7446649921363,-0.00010911658205754,0.0111664051879569,0.713531700303534,0.998802608278029,NA
"STM0042",5.37526380031563,-5.64411718543836e-05,0.0111676012990199,0.800664279541145,0.998802608278029,NA
"STM0043",344.304875341127,-0.000245155926386631,0.0111683188541652,0.47493118091418,0.998802608278029,"rpsT"
"STM0044",15.8052370437002,-0.000219639643796612,0.0111694647695404,0.409035994972595,0.998802608278029,"yaaY"
"STM0045",74.3644397716075,-0.000238626858386139,0.0111647126552805,0.581198967495416,0.998802608278029,"ribF"
"STM0046",378.930661874574,-0.000215693564160861,0.0111636656842169,0.67118145542921,0.998802608278029,"ileS"
"STM0047",152.355790770789,0.000610609534202589,0.0111740361849252,0.347647845305152,0.998802608278029,"lspA"
"STM0048",97.7826324697331,-3.97431988047441e-05,0.0111541296116612,0.838675390993642,0.998802608278029,"slpA"
"STM0049",79.2659157731978,0.000117711801346895,0.0111583337663939,0.837354811174176,0.998802608278029,"lytB"
"STM0050",49.7205153480104,-0.000309492981323924,0.0111641561252596,0.530171002221766,0.998802608278029,NA
"STM0051",71.3078023472578,-0.000261703886990764,0.0111569192075418,0.731825024166662,0.998802608278029,"rihC"
"STM0052",18.383759938889,9.82835356928485e-05,0.0111624231832664,0.813867496880549,0.998802608278029,NA
"STM0053",56.3027091039898,-0.000317950270909856,0.0111680046191337,0.460471801131006,0.998802608278029,NA
"STM0054",2.26815607500455,-0.000272935089095699,0.0111735696148082,0.0849796085716751,0.998802608278029,NA
"STM0055",0.939491143202049,-2.22458445874331e-05,0.011169200699895,0.865083479118871,0.998802608278029,NA
"STM0056",0.187547415509504,1.4715709379154e-06,0.0111696298553633,0.798019750517131,0.998802608278029,NA
